obs_id,station,mode,sub_mode,intent,notes,observer,reference,utc_start,obs_duration,loop_duration,loop_rest_interval,lst_start,start_channel,n_channel,start_frequency,obs_bandwidth,samples_per_frame,time_resolution,n_timesteps,tracking,source_name,right_ascension,declination,altitude,azimuth,obs_date,n_files,size_mb,qa
eb-t0001-20240801-00004,,antenna-bandpass, ,,,,,2024-08-01 08:40:11.818,,,,13.149,,,,,,,,,,,,,,,16,537.32,
eb-t0001-20240805-00003,,antenna-bandpass, ,,,,,2024-08-05 08:59:43.989,,,,13.738,,,,,,,,,,,,,,,16,1074.84,
eb-t0001-20240805-00004,,correlator,sweep,,,,,2024-08-05 12:53:19.000,1525.70981359482,,,17.642,64,385,50.0,300.78125,,1.98180864,2,,,,,,,,385,816.97,
eb-t0001-20240805-00011,,antenna-bandpass, ,,,,,2024-08-05 18:23:20.590,,,,23.157,,,,,,,,,,,,,,,16,537.25,
eb-t0001-20240806-00001,,correlator,sweep,,,,,2024-08-06 04:22:32.000,1525.70981383324,,,9.171,64,385,50.0,300.78125,,1.98180864,2,,,,,,,,385,813.81,
eb-t0001-20240806-00002,,channel-voltages,sweep,,,,,2024-08-06 07:11:28.003,,,,11.994,,,,,,,,,,,,,,,2,67.16,
eb-t0001-20240806-00003,,correlator,sweep,,,,,2024-08-06 13:57:08.000,388.15165448189,,,18.774,64,98,50.0,76.5625,,1.98180864,2,,,,,,,,98,207.96,
eb-t0001-20240807-00002,,antenna-bandpass, ,,,,,2024-08-07 09:38:43.898,1525.70981359481,,,14.521,64,385,50.0,300.78125,,1.98180864,2,,,,,,,,18,4285.65,
eb-t0001-20240807-00002,,antenna-bandpass, ,,,,,2024-08-07 09:38:43.898,1525.70981359481,,,14.521,64,385,50.0,300.78125,,1.98180864,2,,,,,,,,18,4285.65,
eb-t0001-20240807-00003,,antenna-bandpass, ,,,,,2024-08-07 16:40:23.198,,,,21.568,,,,,,,,,,,,,,,16,1074.91,
eb-t0001-20240807-00004,,antenna-bandpass, ,,,,,2024-08-07 16:56:27.314,,,,21.837,,,,,,,,,,,,,,,16,1074.91,
eb-t0001-20240808-00013,,antenna-bandpass, ,,,,,2024-08-08 04:21:05.276,,,,9.278,,,,,,,,,,,,,,,16,537.51,
eb-t0001-20240808-00015,,correlator,sweep,,,,,2024-08-08 06:18:32.000,1525.70981383323,,,11.241,64,385,50.0,300.78125,,1.98180864,2,,,,,,,,385,815.91,
eb-t0001-20240808-00024,,channel-voltages,sweep,,,,,2024-08-08 11:15:29.000,,,,16.204,,,,,,,,,,,,,,,2,67.16,
eb-t0001-20240813-00002,,correlator,sweep,,,,,2024-08-13 05:02:33.003,1524.01084423065,,,10.3,64,385,50.0,300.78125,,1.98180864,2,,,,,,,,385,816.97,
eb-t0001-20240813-00003,,beamformer,power,,,,,2024-08-13 06:56:06.959,18222.93324542046,,,12.198,,384,,,,0.28311552,610,,,,,,,,5,31.83,
eb-t0001-20240813-00004,,beamformer,power,,,,,2024-08-13 17:20:05.679,26.32974338531,,,22.626,,384,,,,0.28311552,94,,,,,,,,1,6.37,
eb-t0001-20240814-00001,,correlator,sweep,,,,,2024-08-14 03:38:16.000,1525.70981383324,,,8.957,64,385,50.0,300.78125,,1.98180864,2,,,,,,,,385,816.97,
eb-t0001-20240814-00002,,correlator,sweep,,,,,2024-08-14 04:24:20.000,1525.70981383324,,,9.727,64,385,50.0,300.78125,,1.98180864,2,,,,,,,,385,816.97,
eb-t0001-20240814-00003,,correlator,sweep,,,,,2024-08-14 06:09:15.000,13.58982157707,,,11.48,64,6,50.0,4.6875,,1.98180864,1,,,,,,,,6,6.42,
